,標準代號,第8次 小業別,擴大書審純益率,所得額標準,毛利率,費用率,淨利率
1051,4729--30,奶粉零售,6,8,26,16,10
1052,4729--31,乳製品(奶粉除外)零售,6,7,19,10,9
1053,4729--32,飲用淨水零售,6,7,19,10,9
1054,4729--33,保健食品零售,8,13,27,12,15
1055,4729--34,蜂蜜零售,6,8,25,15,10
1056,4729--35,青草零售,6,7,19,10,9
1057,4729--36,檳榔零售,6,7,18,9,9
1058,4729--99,未分類其他食品、飲料及菸草製品零售,6,7,19,11,8
1059,,布疋及服飾品零售業,,,,,
1060,4731--11,絲織、麻織、棉織、毛織品零售,5,6,20,13,7
1061,4731--12,人造纖維織品零售,6,7,21,13,8
1062,4731--13,紡織紗零售,6,7,21,13,8
1063,4732--11,服裝零售,6,8,25,15,10
1064,4732--14,真皮皮包、手提包零售,6,7,21,12,9
1065,4732--15,"皮包、手提包(真皮皮包、手提包除外)零售",6,7,21,12,9
1066,4732--16,手套、襪子零售,6,7,22,13,9
1067,4732--17,帽子零售,6,8,22,12,10
1068,4732--99,其他服裝及其配件零售,6,8,25,15,10
1069,4733--11,真皮鞋類及其配件零售,6,7,21,12,9
1070,4733--12,"鞋類及其配件(真皮鞋類及其配件除外)零售",6,7,20,12,8
1071,4739--11,"行李箱、旅行袋(箱)、背包、公事包、化粧箱零售",6,7,21,12,9
1072,4739--12,洋傘零售,6,7,21,13,8
1073,4739--13,帆布製品零售,6,7,22,13,9
1074,4739--15,縫紉用品零售,6,9,23,12,11
1075,4739--16,雨衣、雨鞋零售,6,7,21,12,9
1076,4739--99,未分類其他服飾品零售,6,7,21,12,9
1077,,家用器具及用品零售業,,,,,
1078,4741--11,家用照明設備零售,6,7,17,9,8
1079,4741--12,"家電(視聽設備及家用空調器具除外)零售",5,6,18,11,7
1080,4741--13,家用空調器及其零件零售,6,7,17,9,8
1081,4741--14,通用電池零售,6,8,20,10,10
1082,4741--99,其他家用電器零售,6,8,21,12,9
1083,4742--11,國產家用家具零售,6,11,27,13,14
1084,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1085,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1086,,,,毛利率,費用率,淨利率,
1087,4742--12,進口家用家具零售,6,16,34,11,23
1088,4742--13,廚櫃零售,6,11,27,14,13
1089,4743--11,寢具零售,6,7,22,13,9
1090,4743--12,草蓆、藤蓆零售,6,8,22,12,10
1091,4743--13,地毯零售,6,12,27,11,16
1092,4743--14,壁紙零售,6,12,27,11,16
1093,4743--15,窗簾零售,6,12,27,11,16
1094,4743--16,竹、木、藤製(藤蓆除外)家飾品零售,6,7,20,11,9
1095,4743--99,其他家飾品零售,6,12,27,11,16
1096,4744--11,鐘錶及鐘錶零件零售,6,9,24,13,11
1097,4744--12,眼鏡及其零配件零售,6,11,27,12,15
1098,4745--11,金(銀)飾零售,5,6,20,13,7
1099,4745--12,珠寶零售,6,14,34,15,19
1100,4745--13,"金(銀)條、金(銀)塊、金(銀)錠及金(銀)幣零售",2,2,6,3,3
1101,4745--14,"珠寶零售(專營經由旅行社接待團體顧客之旅行購物保障商店)",6,12,34,18,16
1102,4749--11,免洗餐具零售,6,8,23,13,10
1103,4749--12,家用瓦斯器具零售,6,10,26,15,11
1104,4749--13,家用排油煙機零售,6,11,27,15,12
1105,4749--14,衛生用紙零售,6,7,15,7,8
1106,4749--15,體重計零售,6,10,23,11,12
1107,4749--16,紙尿褲零售,6,8,22,12,10
1108,4749--17,清潔用品零售,6,7,17,9,8
1109,4749--18,牙膏、潔牙粉零售,6,7,17,9,8
1110,4749--19,家用濾水器、淨水器零售,6,8,21,11,10
1111,4749--20,家用攝影器材零售,6,10,23,11,12
1112,4749--21,家用攝影機零售,5,9,22,11,11
1113,4749--22,照相器材零售,6,10,23,11,12
1114,4749--23,照相機零售,5,9,22,11,11
1115,4749--24,家用光學產品零售,6,10,23,11,12
1116,4749--25,打字機零售,6,8,22,12,10
1117,4749--26,玻璃器皿及餐具零售,6,9,23,12,11
1118,4749--27,陶瓷器皿及餐具零售,6,9,22,11,11
1119,4749--28,小件家用器皿零售,6,8,23,13,10
1120,4749--99,未分類其他家用器具及用品零售,4,7,21,13,8
1121,,藥品、醫療用品及化粧品零售業,,,,,
1122,4751--11,中藥零售,6,8,22,12,10
1123,4751--12,西藥零售,6,8,25,15,10
1124,4751--13,醫療耗材零售,6,9,24,13,11
1125,4751--14,動物藥品零售,6,11,25,12,13
1126,4751--99,其他藥品及醫療用品零售,6,10,23,11,12
1127,4752--11,洗髮精、潤髮精零售,6,7,17,9,8
1128,4752--12,香皂、沐浴乳、洗面皂零售,6,7,17,9,8
1129,4752--13,整髮劑、染髮劑零售,6,12,29,13,16
1130,4752--14,香水、香粉零售,6,12,29,13,16
1131,4752--99,其他化粧品零售,6,12,29,13,16
1132,,文教育樂用品零售業,,,,,
1133,4761--11,文具零售,6,7,23,15,8
1134,4761--12,書籍、雜誌零售,6,8,25,15,10
1135,4762--11,自行車及自行車零件零售,6,7,21,12,9
1136,4762--13,釣具零售,6,10,23,11,12
1137,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1138,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1139,,,,毛利率,費用率,淨利率,
1140,4762--99,其他運動用品及器材零售,6,8,22,12,10
1141,4763--11,內建遊戲軟體之遊樂器零售,6,9,23,12,11
1142,4763--12,玩具(模型玩具除外)零售,6,10,23,12,11
1143,4763--13,模型零售,6,9,20,9,11
1144,4763--14,樂器零售,6,9,25,14,11
1145,4763--99,其他玩具及娛樂用品零售,6,7,23,15,8
1146,4764--11,音樂光碟、影片光碟零售,6,9,24,13,11
1147,4764--12,空白光碟片零售,6,10,24,12,12
1148,,建材零售業,,,,,
1149,4810--11,漆料及塗料零售,6,8,22,12,10
1150,4810--13,金屬手工具零售,6,7,17,9,8
1151,4810--14,居家修繕用品零售,6,7,20,12,8
1152,,燃料及相關產品零售業,,,,,
1153,4821--11,汽油零售,3,4,12,7,5
1154,4821--12,柴油零售,5,6,14,7,7
1155,4829--11,煤油零售,6,7,21,13,8
1156,4829--12,桶裝瓦斯零售,4,8,22,12,10
1157,4829--13,焦炭零售,6,7,19,11,8
1158,4829--14,潤滑油零售,6,7,21,13,8
1159,4829--99,未分類其他燃料及相關產品零售,6,7,21,12,9
1160,,資訊及通訊設備零售業,,,,,
1161,4831--11,電腦及電腦週邊設備零售,6,7,21,12,9
1162,4831--12,電腦套裝軟體零售,6,8,21,11,10
1163,4832--11,電話機零售,6,7,20,11,9
1164,4832--12,手機及手機週邊零配件零售,6,8,22,11,11
1165,4832--99,其他通訊設備零售,6,7,20,11,9
1166,4833--00,視聽設備零售,6,7,18,10,8
1167,,汽機車及其零配件、用品零售業,,,,,
1168,4841--11,全新汽車零售,6,9,22,11,11
1169,4841--12,中古汽車零售,6,9,21,11,10
1170,4842--11,全新機車零售,6,8,22,12,10
1171,4842--12,中古機車零售,6,8,22,12,10
1172,4843--11,汽車零件、汽車百貨零售,6,9,22,11,11
1173,4843--12,汽車音響零售,6,9,20,10,10
1174,4843--13,汽車冷氣零售,6,9,19,9,10
1175,4843--14,機車零件、機車百貨零售,6,8,22,12,10
1176,4843--15,汽車輪胎零售,5,6,20,12,8
1177,4843--16,機車輪胎零售,6,7,21,12,9
1178,4843--17,中古汽機車零配件零售,6,9,22,11,11
1179,,其他專賣零售業,,,,,
1180,4851--11,切花、盆栽零售,6,11,28,14,14
1181,4852--11,火柴、打火機零售,6,7,15,7,8
1182,4852--12,宗教、喪葬用品零售,6,11,25,12,13
1183,4852--13,鏡子零售,6,9,23,12,11
1184,4852--14,紙盒、紙袋零售,6,7,20,12,8
1185,4852--16,礦物(寶石、貴金屬除外)零售,6,7,23,14,9
1186,4852--17,手工藝品零售,6,9,25,14,11
1187,4852--18,雕塑品零售,6,10,26,14,12
1188,4852--19,棺木零售,6,9,24,13,11
1189,4852--20,寵物零售,6,11,27,12,15
1190,4852--21,寵物用品零售,6,9,24,13,11
1191,4852--22,寵物飼品零售,4,6,18,11,7
1192,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1193,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1194,,,,,毛利率,費用率,淨利率
1195,4852--23,種子零售,6,7,16,8,8
1196,4852--99,未分類其他全新商品零售,6,7,21,12,9
1197,4853--11,中古藝術品零售,6,11,26,11,15
1198,4853--99,"其他中古商品(汽機車及其零配件除外)零售",6,9,22,11,11
1199,,零售攤販,,,,,
1200,4861--11,食品零售攤販,5,6,24,16,8
1201,4861--12,飲料零售攤販,5,6,24,16,8
1202,4861--13,菸草製品零售攤販,5,6,24,16,8
1203,4862--11,鞋類零售攤販,5,6,24,16,8
1204,4862--12,服裝及服飾配件零售攤販,5,7,23,14,9
1205,4862--13,紡織品零售攤販,5,6,24,16,8
1206,4869--11,書籍零售攤販,5,6,24,16,8
1207,4869--12,玩具零售攤販,5,6,24,16,8
1208,4869--13,影音光碟零售攤販,5,6,24,16,8
1209,4869--14,遊樂器零售攤販,5,6,24,16,8
1210,4869--99,未分類其他零售攤販,5,6,24,16,8
1211,,其他非店面零售業,,,,,
1212,4871--11,經營郵購,6,10,23,11,12
1213,4871--12,經營電視購物、電台購物,6,10,23,11,12
1214,4871--13,經營網路購物,6,10,23,11,12
1215,4872--11,單層直銷(有形商品),6,10,23,11,12
1216,4872--12,多層次傳銷(商品銷貨收入),6,10,23,11,12
1217,4872--13,多層次傳銷(佣金收入),(10),20,75,47,28
1218,4879--11,以自動販賣機零售商品,6,7,19,10,9
1219,4879--12,非店面零售代理,6,10,23,11,12
1220,H.運輸及倉儲業,,,,,,
1221,,汽車客運業,,,,,
1222,4931--11,公路汽車客運,6,10,38,27,11
1223,4931--12,市區汽車客運,6,10,38,27,11
1224,4932--11,計程車客運,2,5,28,20,8
1225,4939--11,附駕駛之客車租賃,8,12,46,33,13
1226,4939--12,遊覽車客運,4,9,34,24,10
1227,,汽車貨運業,,,,,
1228,4940--11,汽車貨櫃貨運,4,7,53,45,8
1229,4940--12,搬家運送服務,4,6,32,25,7
1230,4940--99,其他汽車貨運,4,6,32,25,7
1231,,其他陸上運輸業,,,,,
1232,4990--11,人力車、畜力車運輸,6,9,34,23,11
1233,4990--12,管道運輸,6,11,35,20,15
1234,,海洋水運業,,,,,
1235,5010--11,海洋水運,6,13,32,15,17
1236,,航空運輸業,,,,,
1237,5100--00,航空運輸,6,12,34,19,15
1238,,報關業,,,,,
1239,5210--00,報關服務,8,15,73,53,20
1240,,船務代理業,,,,,
1241,5220--00,船務代理,8,20,60,32,28
1242,,貨運承攬業,,,,,
1243,5231--11,鐵路、陸路貨運承攬,6,11,35,20,15
1244,5231--12,陸上行李包裹託運,6,12,64,48,16
1245,5232--00,海洋貨運承攬,6,17,49,29,20
1246,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1247,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1248,,,,毛利率,費用率,淨利率,
1249,5233--00,航空貨運承攬,6,17,48,29,19
1250,,陸上運輸輔助業,,,,,
1251,5241--00,停車場管理,(8),23,68,38,30
1252,5249--00,其他陸上運輸輔助,6,11,32,18,14
1253,,水上運輸輔助業,,,,,
1254,5251--00,港埠管理,6,16,47,24,23
1255,5259--11,拖駁船經營,6,10,26,14,12
1256,5259--12,船上貨物裝卸,6,10,26,14,12
1257,5259--99,未分類其他水上運輸輔助,6,10,26,14,12
1258,,航空運輸輔助業,,,,,
1259,5260--00,航空運輸輔助,6,11,32,18,14
1260,,其他運輸輔助業,,,,,
1261,5290--11,運輸公證服務,8,18,76,52,24
1262,5290--12,貨櫃及貨物集散站經營,6,13,32,14,18
1263,5290--13,代計噸位,6,30,75,32,43
1264,5290--99,未分類其他運輸輔助,6,11,35,20,15
1265,,倉儲業,,,,,
1266,5301--00,普通倉儲經營,8,20,63,35,28
1267,5302--00,冷凍冷藏倉儲經營,8,18,57,31,26
1268,,快遞業,,,,,
1269,5420--99,其他快遞服務,6,11,34,20,14
1270,I.住宿及餐飲業,,,,,,
1271,,短期住宿業,,,,,
1272,5510--11,觀光旅館,7,15,73,55,18
1273,5510--12,旅館,7,12,64,49,15
1274,5510--13,民宿,7,12,66,49,17
1275,,其他住宿業,,,,,
1276,5590--99,未分類其他住宿,6,10,65,50,15
1277,,餐食業,,,,,
1278,5611--11,早餐店,6,7,25,16,9
1279,5611--12,便當、自助餐店,6,7,25,16,9
1280,5611--13,麵店、小吃店,6,7,25,16,9
1281,5611--14,連鎖速食店,9,11,46,32,14
1282,5611--15,餐館、餐廳,9,12,45,32,13
1283,5611--16,有娛樂節目餐廳,10,24,70,40,30
1284,5611--17,吃到飽餐廳,8,11,42,28,14
1285,,餐飲攤販,,,,,
1286,5612--00,餐食攤販,6,6,24,16,8
1287,,外燴及團膳承包業,,,,,
1288,5620--11,外燴(辦桌)承包,6,6,24,16,8
1289,5620--12,團膳承包,5,6,23,15,8
1290,5620--13,學校營養午餐供應,5,6,23,15,8
1291,,飲料店業,,,,,
1292,5631--11,冰果店、冷(熱)飲店,6,12,37,21,16
1293,5631--12,咖啡館,9,24,58,30,28
1294,5631--13,茶藝館,6,11,35,20,15
1295,5631--14,飲酒店,9,23,58,25,33
1296,,飲料攤販,,,,,
1297,5632--00,調理飲料攤販,6,6,24,16,8
1298,J.出版、影音製作、傳播及資通訊服務業,,,,,,
1299,,新聞、雜誌、期刊、書籍及其他出版業,,,,,
1300,5811--11,實體新聞出版,6,9,28,17,11
1301,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1302,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1303,,,,毛利率,費用率,淨利率,
1304,5811--12,數位新聞出版,6,9,28,17,11
1305,5812--11,實體雜誌及期刊出版,6,9,26,16,10
1306,5812--12,數位雜誌及期刊出版,6,9,26,16,10
1307,5813--11,實體書籍出版,6,11,27,12,15
1308,5813--12,數位書籍出版,6,11,27,12,15
1309,5819--00,其他出版,6,11,27,12,15
1310,,軟體出版業,,,,,
1311,5820--11,遊戲軟體出版,6,12,29,13,16
1312,5820--99,其他軟體出版,6,12,29,13,16
1313,,影片及電視節目業,,,,,
1314,5911--13,電視節目製作,(7),11,33,18,15
1315,5911--14,電影片製作,5,13,31,13,18
1316,5911--99,其他影片製作,5,13,31,13,18
1317,5912--00,影片及電視節目後製服務,5,13,37,18,19
1318,5913--11,電影片代理及發行,5,13,31,13,18
1319,5913--12,電視節目代理及發行,(7),11,33,18,15
1320,5914--00,電影院,5,12,40,24,16
1321,,聲音錄製及音樂發行業,,,,,
1322,5920--11,流行音樂發行,6,12,29,13,16
1323,5920--14,廣播節目製作及發行,(7),11,33,18,15
1324,,廣播業,,,,,
1325,6010--11,廣播電台經營,(7),10,29,16,13
1326,,電視節目編排及傳播業,,,,,
1327,6020--11,無線電視頻道經營,(7),13,35,17,18
1328,6020--12,衛星電視頻道經營,(7),13,35,17,18
1329,,電信業,,,,,
1330,6101--12,有線通信服務,8,26,63,35,28
1331,6102--12,無線通信服務,8,26,63,35,28
1332,,電腦程式設計、諮詢及相關服務業,,,,,
1333,6201--11,遊戲程式設計,8,17,66,42,24
1334,6201--12,網頁設計,8,17,66,42,24
1335,6201--99,其他電腦程式設計,8,17,66,42,24
1336,6202--11,系統整合,8,21,70,40,30
1337,6202--12,系統規劃、分析及設計,8,21,70,40,30
1338,6202--13,電腦設備管理及資訊技術諮詢,8,15,64,43,21
1339,6209--00,其他電腦相關服務,8,21,70,41,29
1340,,"入口網站經營、資料處理、主機及網站代管服務業",,,,,
1341,6311--00,入口網站經營,8,15,64,42,22
1342,6312--99,其他資料處理、主機及網站代管服務,8,15,64,43,21
1343,,其他資訊服務業,,,,,
1344,6390--99,未分類其他資訊服務,8,15,64,43,21
1345,K.金融及保險業,,,,,,
1346,,貨幣中介業,,,,,
1347,6412--11,本國銀行,8,19,72,45,27
1348,6412--12,外國銀行,8,19,72,45,27
1349,6413--00,信用合作社,8,18,66,41,25
1350,6419--00,其他貨幣中介,-,23,72,44,28
1351,,其他金融服務業,,,,,
1352,6491--00,金融租賃,(8),21,72,42,30
1353,6496--11,典當服務,8,22,73,42,31
1354,6496--99,其他民間融資,(10),21,72,42,30
1355,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1356,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1357,,,,毛利率,費用率,淨利率,
1358,6499--11,投資有價證券,-,24,70,41,29
1359,6499--13,信用卡發卡機構,8,25,76,45,31
1360,,人身保險業,,,,,
1361,6510--00,人身保險,8,20,65,37,28
1362,,財產保險業,,,,,
1363,6520--11,輸出入保險,8,20,75,47,28
1364,6520--99,其他財產保險,8,20,56,35,21
1365,,再保險業,,,,,
1366,6530--00,再保險,8,20,75,47,28
1367,,保險輔助業,,,,,
1368,6551--11,財產保險經紀,(10),20,75,49,26
1369,6551--12,人身保險經紀,(10),20,75,48,27
1370,6551--13,財產保險代理,8,20,74,47,27
1371,6551--14,人身保險代理,8,20,74,47,27
1372,6559--11,一般保險公證,8,20,75,47,28
1373,6559--12,海事保險公證,8,20,75,47,28
1374,6559--13,保險精算,8,20,75,47,28
1375,,證券業,,,,,
1376,6611--00,證券商,8,21,72,47,25
1377,6612--00,證券輔助,8,22,77,46,31
1378,,期貨業,,,,,
1379,6621--00,期貨商,8,22,77,46,31
1380,,基金管理業,,,,,
1381,6640--00,基金管理,-,23,74,45,29
1382,,其他金融輔助業,,,,,
1383,6691--11,證券投資顧問,10,18,68,43,25
1384,6691--99,其他投資顧問,(10),16,70,48,22
1385,6699--99,其他未分類金融輔助,8,20,74,45,29
1386,L.不動產業,,,,,,
1387,,不動產開發業,,,,,
1388,6700--11,土地開發,(8),23,68,39,29
1389,6700--12,不動產投資開發,(7),8,38,28,10
1390,,不動產經營業,,,,,
1391,6811--11,不動產買賣,-,12,27,10,17
1392,6811--12,不動產租賃,(8),23,73,40,33
1393,6811--13,不動產轉租賃,(8),23,74,41,33
1394,6812--11,不動產仲介,(10),23,73,45,28
1395,6812--12,不動產代銷,(10),21,74,43,31
1396,,其他不動產業,,,,,
1397,6891--11,展示場管理,5,5,18,12,6
1398,6891--12,市場管理,4,5,18,12,6
1399,M.專業、科學及技術服務業,,,,,,
1400,,法律服務業,,,,,
1401,6919--11,公證人事務服務,(10),17,82,58,24
1402,,管理顧問業,,,,,
1403,7020--11,財務管理顧問服務,(10),16,70,49,21
1404,7020--12,行銷管理顧問服務,(10),16,69,48,21
1405,7020--99,其他管理顧問服務,(10),16,69,48,21
1406,,建築、工程服務及相關技術顧問業,,,,,
1407,7111--12,景觀建築服務,(10),16,70,47,23
1408,7112--11,土木工程顧問,(10),16,69,47,22
1409,7112--12,測量及非建築工程製圖服務,(10),15,61,45,16
1410,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1411,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1412,,,,,毛利率,費用率,淨利率
1413,7112--13,積體電路設計,8,18,38,12,26
1414,7112--99,其他工程服務及相關技術顧問,(10),16,66,47,19
1415,,技術檢測及分析服務業,,,,,
1416,7121--00,環境檢測服務,6,11,54,39,15
1417,7129--11,汽機車檢驗,6,13,44,26,18
1418,7129--99,未分類其他技術檢測及分析服務,(10),28,70,31,39
1419,,廣告業,,,,,
1420,7310--11,廣告公司,7,12,29,12,17
1421,7310--12,媒體代理及買賣,7,12,29,12,17
1422,7310--13,公開展示廣告,7,12,26,10,16
1423,7310--99,其他廣告服務,6,11,34,20,14
1424,,市場研究及民意調查業,,,,,
1425,7320--11,市場研究,(10),19,82,55,27
1426,7320--12,民意調查,(10),19,82,55,27
1427,,專門設計業,,,,,
1428,7401--00,室內設計,8,12,29,12,17
1429,7402--00,工業設計,8,13,31,13,18
1430,7409--11,企業識別標誌設計,8,13,31,12,19
1431,7409--12,商業設計,7,12,26,10,16
1432,7409--13,包裝設計,8,13,31,12,19
1433,7409--14,視覺傳達與平面設計,8,13,31,12,19
1434,7409--15,流行時尚設計,8,13,31,12,19
1435,7409--16,多媒體設計,8,13,31,12,19
1436,7409--99,未分類其他專門設計服務,8,13,31,12,19
1437,,其他專業、科學及技術服務業,,,,,
1438,7601--11,照相館,6,14,39,20,19
1439,7601--12,相片沖洗,6,12,35,19,16
1440,7601--13,代客錄影(結婚攝影除外),6,12,34,19,15
1441,7601--99,其他攝影,6,18,62,37,25
1442,7602--00,翻譯服務,6,19,66,41,25
1443,7603--99,其他藝人及模特兒等經紀,8,18,53,33,20
1444,7609--11,環境顧問服務,(10),16,70,48,22
1445,7609--12,"農、林、漁、礦、食品、紡織等技術指導服務",(10),18,68,42,26
1446,7609--99,其他未分類專業、科學及技術服務,6,11,34,20,14
1447,N.支援服務業,,,,,,
1448,,機械設備租賃業,,,,,
1449,7711--00,營造用機械設備租賃,(8),21,68,41,27
1450,7712--00,農業及其他工業用機械設備租賃,(8),21,70,40,30
1451,7713--11,影印機出租,(8),21,69,39,30
1452,7713--12,電腦及其週邊設備出租,(8),21,70,40,30
1453,7713--99,其他辦公用機械設備租賃,(8),21,69,40,29
1454,7719--12,醫療機械設備出租,(8),21,70,40,30
1455,7719--13,舞台燈光、音響設備出租,(8),21,71,42,29
1456,7719--99,未分類其他機械設備租賃,(8),21,69,40,29
1457,,運輸工具設備租賃業,,,,,
1458,7721--00,汽車租賃,(8),14,46,31,15
1459,7729--11,機車出租,(8),15,51,30,21
1460,7729--12,船舶出租,(8),22,63,32,31
1461,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1462,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1463,,,,毛利率,費用率,淨利率,
1464,7729--13,飛機出租,(8),15,51,30,21
1465,,個人及家庭用品租賃業,,,,,
1466,7730--12,運動及娛樂用品租賃,(8),11,48,34,14
1467,7730--13,影音光碟租賃,(8),17,56,32,24
1468,7730--14,禮服及服裝出租,(8),20,69,41,28
1469,7730--15,宴會用品出租,(8),21,70,40,30
1470,7730--16,小說、漫畫及雜誌出租,(8),19,67,40,27
1471,7730--99,其他個人及家庭用品租賃,(8),21,70,40,30
1472,,人力仲介業,,,,,
1473,7810--11,外籍勞工仲介,8,20,77,50,27
1474,7810--99,其他人力仲介,8,20,77,49,28
1475,,人力供應業,,,,,
1476,7820--00,人力供應,8,18,73,49,24
1477,,旅行及相關服務業,,,,,
1478,7900--11,旅行業,8,13,69,54,15
1479,7900--12,戲劇、體育及其他娛樂活動售票服務,8,13,70,54,16
1480,,保全及偵探業,,,,,
1481,8000--11,保全服務,6,15,62,43,19
1482,8000--12,系統保全服務,6,16,66,44,22
1483,,複合支援服務業,,,,,
1484,8110--00,複合支援服務,5,5,21,15,6
1485,,清潔服務業,,,,,
1486,8121--00,建築物一般清潔服務,6,12,53,38,15
1487,8129--11,病媒防治服務,6,12,54,38,16
1488,8129--12,運輸工具清潔服務(汽車除外),6,19,55,30,25
1489,8129--13,道路清潔服務,6,12,54,38,16
1490,8129--99,未分類其他清潔服務,6,12,53,38,15
1491,,綠化服務業,,,,,
1492,8130--00,綠化服務,4,7,32,24,8
1493,,行政支援服務業,,,,,
1494,8201--11,信用評等服務,8,25,76,45,31
1495,8201--12,信用調查服務,(10),19,82,55,27
1496,8202--12,工商展覽籌辦,6,11,34,20,14
1497,8203--00,影印服務,6,15,63,42,21
1498,8209--12,文件打字、撰稿及速記等服務,6,11,34,20,14
1499,8209--14,包裝承攬服務,6,11,34,20,14
1500,8209--99,未分類其他行政支援服務,6,11,34,20,14
1501,P.教育業,,,,,,
1502,,教育輔助業,,,,,
1503,8580--12,代辦留(遊)學服務,6,11,34,20,14
1504,8580--99,其他教育輔助服務,(10),16,62,39,23
1505,,其他教育業,,,,,
1506,8595--12,專業考試補習教學,-,19,64,36,28
1507,8599--12,汽車駕駛訓練,(10),16,62,39,23
1508,8599--99,其他未分類教育,(10),16,62,39,23
1509,Q.醫療保健及社會工作服務業,,,,,,
1510,,醫院,,,,,
1511,8610--00,醫院,-,20,70,45,25
1512,,其他醫療保健業,,,,,
1513,8691--00,醫學檢驗服務,(10),28,70,31,39
1514,8699--99,其他未分類醫療保健,-,20,70,45,25
1515,R.藝術、娛樂及休閒服務業,,,,,,
1516,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1517,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1518,,,,,毛利率,費用率,淨利率
1519,,創作業,,,,,
1520,9010--11,繪畫創作,6,24,68,34,34
1521,,藝術表演業,,,,,
1522,9020--11,劇團,6,7,28,20,8
1523,9020--12,舞團,6,7,28,20,8
1524,9020--14,電子琴花車,6,18,62,37,25
1525,9020--15,民俗藝術表演,6,12,37,20,17
1526,9020--99,其他藝術表演,6,12,37,20,17
1527,,創作及藝術表演輔助業,,,,,
1528,9030--15,藝術表演活動籌辦、監製與經紀,6,11,34,20,14
1529,9030--18,燈光、舞台設計服務,7,9,22,11,11
1530,,博弈業,,,,,
1531,9200--11,彩券銷售,10,11,48,34,14
1532,,運動服務業,,,,,
1533,9312--11,撞球室,6,13,54,36,18
1534,9312--13,網球場,6,13,48,30,18
1535,9312--14,羽球(場)館,6,13,48,30,18
1536,9312--15,高爾夫球場及練習場,6,15,58,36,22
1537,9312--16,保齡球館,6,13,51,33,18
1538,9312--18,游泳池,6,13,38,20,18
1539,9312--19,健身中心、健康俱樂部,6,15,58,36,22
1540,9312--99,其他運動場館,6,13,54,36,18
1541,9319--99,未分類其他運動服務,6,13,54,36,18
1542,,娛樂及休閒服務業,,,,,
1543,9321--00,遊樂園及主題樂園,6,13,51,33,18
1544,9322--11,視唱中心(KTV),9,18,58,32,26
1545,9322--12,視聽中心,9,18,58,32,26
1546,9323--11,有侍者陪伴之茶室,10,23,55,22,33
1547,9323--12,有侍者陪伴之咖啡廳,10,28,88,48,40
1548,9323--13,有侍者陪伴之酒家、酒吧,10,28,88,48,40
1549,9323--14,有侍者陪伴之歌廳,6,12,56,40,16
1550,9323--15,有侍者陪伴之舞廳,10,28,88,48,40
1551,9323--16,有侍者陪伴之夜總會,10,28,88,48,40
1552,9323--18,有侍者陪伴之視唱、視聽中心,10,23,74,41,33
1553,9324--11,電動玩具店,10,14,52,32,20
1554,9324--12,小鋼珠(柏青哥)店,10,14,52,32,20
1555,9329--11,釣魚場,6,11,48,34,14
1556,9329--12,釣蝦場,6,11,48,34,14
1557,9329--14,海水浴場,6,13,38,20,18
1558,9329--15,上網專門店,6,11,48,34,14
1559,9329--16,漫畫書屋,6,11,48,34,14
1560,9329--99,未分類其他娛樂及休閒服務,6,11,48,34,14
1561,S.其他服務業,,,,,,
1562,,其他組織,,,,,
1563,9499--00,未分類其他組織,4,5,18,12,6
1564,,汽車維修及美容業,,,,,
1565,9511--11,貨櫃修理,6,19,51,24,27
1566,9511--99,其他汽車維修,6,13,42,25,17
1567,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1568,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1569,,,,,毛利率,費用率,淨利率
1570,9512--00,汽車美容,6,12,55,39,16
1571,,電腦、通訊傳播設備及電子產品修理業,,,,,
1572,9521--00,電腦及其週邊設備維修,6,15,54,32,22
1573,9523--11,視聽電子產品維修,6,15,54,32,22
1574,9523--12,家用電器維修,6,15,54,32,22
1575,,其他個人及家庭用品維修業,,,,,
1576,9591--00,機車維修,6,13,45,26,19
1577,9599--11,樂器維修,6,20,54,26,28
1578,9599--12,非機械設備之農具修理,6,13,45,26,19
1579,9599--13,鞋、皮革品修理,6,15,52,30,22
1580,9599--14,自行車修理,6,10,41,29,12
1581,9599--15,鐘錶維修,6,20,52,24,28
