,標準代號,第8次 小業別,擴大書審純益率,所得額標準,毛利率,費用率,淨利率
192,1159--12,織帶織製,4,7,20,12,8
193,1159--99,未分類其他紡織品製造,6,7,17,9,8
194,,成衣製造業,,,,,
195,1210--11,梭織制服製造,6,6,24,17,7
196,1210--12,梭織童裝製造,6,6,21,14,7
197,1210--13,梭織運動服製造,5,5,20,14,6
198,1210--14,梭織外衣、襯衫製造,6,6,21,14,7
199,1210--15,梭織服裝訂製,6,10,32,20,12
200,1210--16,梭織成衣代工,6,6,24,17,7
201,1210--17,其他梭織外衣製造,6,6,24,17,7
202,1210--18,針織外衣、襯衫製造,4,5,19,13,6
203,1210--19,針織毛衣、毛褲製造,4,5,19,13,6
204,1210--20,其他針織外衣製造,4,5,19,13,6
205,1210--21,梭織內衣製造,6,6,24,17,7
206,1210--22,針織內衣製造,4,5,27,21,6
207,1210--23,睡衣製造,6,6,24,17,7
208,1210--24,束衣製造,4,5,19,13,6
209,1210--26,代客編織(成衣),6,12,31,14,17
210,,服飾品製造業,,,,,
211,1230--11,襪類製造,5,5,18,12,6
212,1230--12,紡織手套製造,6,7,19,11,8
213,1230--13,紡織帽製造,6,7,21,12,9
214,1230--15,代客編織(服飾品),6,12,31,14,17
215,1230--99,其他服飾品製造,6,6,24,17,7
216,,皮革、毛皮及其製品製造業,,,,,
217,1301--00,皮革及毛皮整製,5,5,19,13,6
218,107年度營利事業各業所得額暨同業利潤標準,,,,,,
219,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
220,,,,毛利率,費用率,淨利率,
221,1302--11,皮鞋製造,6,6,19,12,7
222,1302--12,紡織鞋製造,6,6,17,10,7
223,1302--13,橡膠鞋製造,6,6,25,18,7
224,1302--15,塑膠鞋製造,6,6,21,14,7
225,1302--99,其他鞋類製造,6,6,21,14,7
226,1303--11,皮革製行李箱及手提袋製造,6,6,20,13,7
227,1303--12,仿皮革及其他材料製行李箱及手提袋製造,6,7,20,12,8
228,1309--00,其他皮革及毛皮製品製造,6,6,20,13,7
229,,木竹製品製造業,,,,,
230,1401--11,木材鋸製、鉋製,6,6,21,14,7
231,1401--12,木材保存處理,6,7,18,10,8
232,1401--13,代客鋸木,6,8,24,14,10
233,1401--14,地板材製造(未組裝),6,8,25,15,10
234,1401--99,其他製材,6,6,21,14,7
235,1402--00,合板及組合木材製造,4,5,21,15,6
236,1403--00,建築用木製品製造,6,7,21,13,8
237,1404--00,木質容器製造,6,7,21,13,8
238,1409--11,軟木製品製造,6,7,28,20,8
239,1409--12,雕刻木製品製造,6,7,21,13,8
240,1409--13,木框製造,6,7,21,13,8
241,1409--14,竹製品製造,4,5,20,14,6
242,1409--15,藤製品製造,6,7,21,13,8
243,1409--99,未分類其他木竹製品製造,6,6,20,13,7
244,,紙漿、紙及紙板製造業,,,,,
245,1511--00,紙漿製造,6,8,24,14,10
246,1512--11,文化用紙製造,6,7,26,18,8
247,1512--12,包裝用紙製造,6,6,25,18,7
248,1512--99,其他紙張製造,6,7,25,17,8
249,1513--00,紙板製造,6,7,23,15,8
250,,瓦楞紙板及紙容器製造業,,,,,
251,1520--11,瓦楞紙板(箱)製造,6,7,23,15,8
252,1520--12,紙袋製造,6,7,23,14,9
253,1520--99,其他紙容器製造,6,7,23,14,9
254,,其他紙製品製造業,,,,,
255,1591--11,衛生類用紙製造,6,8,28,18,10
256,1591--12,紙尿褲及衛生棉製造,6,9,27,15,12
257,1599--11,電腦報表紙製造,6,8,25,15,10
258,1599--12,神紙(冥紙)製造,6,8,25,16,9
